recurso1,recurso,cantidad,tipo,categoria
Pastos limpios,Pastos limpios del Orobioma Subandino Cauca Medio,228,aprovechaforestalpg,Pastos limpios del Orobioma Subandino Cauca Medio
Caña,Caña del Orobioma Azonal Subandino Cauca Medio,47,aprovechaforestalpg,Caña del Orobioma Azonal Subandino Cauca Medio
Cuerpos de agua artificiales,Cuerpos de agua artificiales del Hidrobioma Cauca Medio,3,aprovechaforestalpg,Cuerpos de agua artificiales del Hidrobioma Cauca Medio
Guadual,Guadual del Orobioma Subandino Cauca Medio,51,aprovechaforestalpg,Guadual del Orobioma Subandino Cauca Medio
"Lagunas, lagos y ciénagas naturales","Lagunas, lagos y ciénagas naturales del Hidrobioma Cauca Medio",2,aprovechaforestalpg,"Lagunas, lagos y ciénagas naturales del Hidrobioma Cauca Medio"
Mosaico de pastos y cultivos,Mosaico de pastos y cultivos del Orobioma Azonal Subandino Cauca Medio,1,aprovechaforestalpg,Mosaico de pastos y cultivos del Orobioma Azonal Subandino Cauca Medio
Pastos arbolados,Pastos arbolados del Orobioma Subandino Cauca Medio,332,aprovechaforestalpg,Pastos arbolados del Orobioma Subandino Cauca Medio
Pastos enmalezados,Pastos enmalezados del Orobioma Azonal Subandino Cauca Medio,1,aprovechaforestalpg,Pastos enmalezados del Orobioma Azonal Subandino Cauca Medio
Pastos enmalezados,Pastos enmalezados del Orobioma Subandino Cauca Medio,150,aprovechaforestalpg,Pastos enmalezados del Orobioma Subandino Cauca Medio
Pastos limpios,Pastos limpios del Orobioma Azonal Subandino Cauca Medio,8,aprovechaforestalpg,Pastos limpios del Orobioma Azonal Subandino Cauca Medio
Red vial y terrenos asociados,Red vial y terrenos asociados del Orobioma Subandino Cauca Medio,1,aprovechaforestalpg,Red vial y terrenos asociados del Orobioma Subandino Cauca Medio
Ríos,Ríos del Hidrobioma Cauca Medio,1,aprovechaforestalpg,Ríos del Hidrobioma Cauca Medio
Tejido urbano discontinuo,Tejido urbano discontinuo del Orobioma Subandino Cauca Medio,1,aprovechaforestalpg,Tejido urbano discontinuo del Orobioma Subandino Cauca Medio
Vegetación secundaria alta,Vegetación secundaria alta del Orobioma Azonal Subandino Cauca Medio,1,aprovechaforestalpg,Vegetación secundaria alta del Orobioma Azonal Subandino Cauca Medio
Vegetación secundaria alta,Vegetación secundaria alta del Orobioma Subandino Cauca Medio,2,aprovechaforestalpg,Vegetación secundaria alta del Orobioma Subandino Cauca Medio
Vegetación secundaria baja,Vegetación secundaria baja del Orobioma Azonal Subandino Cauca Medio,2,aprovechaforestalpg,Vegetación secundaria baja del Orobioma Azonal Subandino Cauca Medio
Vegetación secundaria baja,Vegetación secundaria baja del Orobioma Subandino Cauca Medio,4,aprovechaforestalpg,Vegetación secundaria baja del Orobioma Subandino Cauca Medio
Bosque de galería y ripario,Bosque de galería y ripario del Orobioma Subandino Cauca Medio,108,aprovechaforestalpg,Bosque de galería y ripario del Orobioma Subandino Cauca Medio
Bosque de galería y ripario,Bosque de galería y ripario del Orobioma Azonal Subandino Cauca Medio,4,aprovechaforestalpg,Bosque de galería y ripario del Orobioma Azonal Subandino Cauca Medio
Caña,Caña del Orobioma Subandino Cauca Medio,2,aprovechaforestalpg,Caña del Orobioma Subandino Cauca Medio
Cultivos permanentes arbóreos,Cultivos permanentes arbóreos del Orobioma Subandino Cauca Medio,2,aprovechaforestalpg,Cultivos permanentes arbóreos del Orobioma Subandino Cauca Medio
Cultivos permanentes arbustivos,Cultivos permanentes arbustivos del Orobioma Subandino Cauca Medio,15,aprovechaforestalpg,Cultivos permanentes arbustivos del Orobioma Subandino Cauca Medio
Guadual,Guadual del Orobioma Azonal Subandino Cauca Medio,18,aprovechaforestalpg,Guadual del Orobioma Azonal Subandino Cauca Medio
Mosaico de pastos y cultivos,Mosaico de pastos y cultivos del Orobioma Subandino Cauca Medio,4,aprovechaforestalpg,Mosaico de pastos y cultivos del Orobioma Subandino Cauca Medio
Pastos arbolados,Pastos arbolados del Orobioma Azonal Subandino Cauca Medio,12,aprovechaforestalpg,Pastos arbolados del Orobioma Azonal Subandino Cauca Medio
Pithecellobium dulce,Chiminango/payandé,38,aprovechaforestalpt,Chiminango/payandé
Senna spectabilis,Vainillo/cañafístulo,39,aprovechaforestalpt,Vainillo/cañafístulo
Zanthoxylum rhoifolium,Tachuelo,1,aprovechaforestalpt,Tachuelo
Samanea saman,Samán,37,aprovechaforestalpt,Samán
Cordia alliodora,Nogalito,137,aprovechaforestalpt,Nogalito
Trema micrantha,Zurrumbo,56,aprovechaforestalpt,Zurrumbo
Ficus cf. obtusifolia,Higuerón,12,aprovechaforestalpt,Higuerón
Cupressus lusitanica,Ciprés,9,aprovechaforestalpt,Ciprés
Beilschmiedia cf. costaricensis,Aguacatillo,13,aprovechaforestalpt,Aguacatillo
Xylosma cf. benthamii,Cacho de venado,2,aprovechaforestalpt,Cacho de venado
Cupania latifolia,Guacharaco/mestizo,140,aprovechaforestalpt,Guacharaco/mestizo
Hieronyma cf. scabrida,Candelo,32,aprovechaforestalpt,Candelo
Machaerium capote,Sietecueros,20,aprovechaforestalpt,Sietecueros
Ficus insipida,Higuerón,7,aprovechaforestalpt,Higuerón
Erythrina fusca,Búcaro,44,aprovechaforestalpt,Búcaro
Ficus maxima,Higuerón,22,aprovechaforestalpt,Higuerón
Chrysophyllum argenteum,Caimito,26,aprovechaforestalpt,Caimito
Trichilia pallida,Cedrillo,20,aprovechaforestalpt,Cedrillo
Myrcia cf. popayanensis,Arrayán,7,aprovechaforestalpt,Arrayán
Cinnamomum triplinerve,Jigua,35,aprovechaforestalpt,Jigua
Cupania cf. americana,Guacharaco,1,aprovechaforestalpt,Guacharaco
Ficus sp.,Higueron,4,aprovechaforestalpt,Higueron
Cordia cf. bogotensis,Verde y negro,15,aprovechaforestalpt,Verde y negro
Inga edulis,Guamo,6,aprovechaforestalpt,Guamo
Albizia cf. carbonaria,Carbonero,5,aprovechaforestalpt,Carbonero
Brosimum alicastrum,Guáimaro,105,aprovechaforestalpt,Guáimaro
Buddleja cf. bullata,Gavilán,1,aprovechaforestalpt,Gavilán
Enterolobium cyclocarpum,Orejero,1,aprovechaforestalpt,Orejero
Mespilodaphne cf. veraguensis,Laurel,14,aprovechaforestalpt,Laurel
Guarea glabra,Cedrillo,4,aprovechaforestalpt,Cedrillo
Erythrina poeppigiana,Cámbulo,7,aprovechaforestalpt,Cámbulo
Guarea guidonia,Cedrillo,36,aprovechaforestalpt,Cedrillo
Ocotea cf. whitei,Laurel,3,aprovechaforestalpt,Laurel
Ficus cf. americana,Higuerón,6,aprovechaforestalpt,Higuerón
Clarisia biflora,Lechero colorado,5,aprovechaforestalpt,Lechero colorado
Handroanthus chrysanthus,Guayacan amarillo,2,aprovechaforestalpt,Guayacan amarillo
Ocotea cf. prunifolia,Laurel,8,aprovechaforestalpt,Laurel
Casearia sylvestris,Ratón,16,aprovechaforestalpt,Ratón
Ampelocera cf. albertiae,Costillo,15,aprovechaforestalpt,Costillo
Garcinia madruno,Madroño,2,aprovechaforestalpt,Madroño
Trichilia cf. martiana,Cedrillo,1,aprovechaforestalpt,Cedrillo
Sorocea cf. pubivena,Lechero,2,aprovechaforestalpt,Lechero
Clusia cf. schomburgkiana,Gaque,1,aprovechaforestalpt,Gaque
Eucalyptus cf. tereticornis,Eucalipto,7,aprovechaforestalpt,Eucalipto
Pinus caribaea,Pino,1,aprovechaforestalpt,Pino
Beilschmiedia sp.,Laurel,13,aprovechaforestalpt,Laurel
Ocotea cf. macrophylla,Laurel,9,aprovechaforestalpt,Laurel
Tapirira guianensis,Fresno,4,aprovechaforestalpt,Fresno
Hasseltia floribunda,Huesito,1,aprovechaforestalpt,Huesito
Ocotea cf. macropoda,Laurel,1,aprovechaforestalpt,Laurel
Endlicheria cf. anomala,Amarillo,1,aprovechaforestalpt,Amarillo
Ficus sp. 4,Higueron,1,aprovechaforestalpt,Higueron
Ochroma pyramidale,Balso,2,aprovechaforestalpt,Balso
Sterculia cf. apetala,Cacaito,1,aprovechaforestalpt,Cacaito
Ficus sp. 6,Higueron,1,aprovechaforestalpt,Higueron
Guatteria cf. goudotiana,Cargadera,1,aprovechaforestalpt,Cargadera
Plantación de especies amenazadas endémicas o de sucesión tardia,,11,compensacionbiodiversidad,Plantación de especies amenazadas endémicas o de sucesión tardia
Encerramiento plantación de individuos según su estado sucecional manejo de suelos según corresponda y complementación con enfoque de fauna (técnias de nucleación),,24,compensacionbiodiversidad,Encerramiento plantación de individuos según su estado sucecional manejo de suelos según corresponda y complementación con enfoque de fauna (técnias de nucleación)
Encerramiento y plantación de renuevos en áreas adyacentes,,2,compensacionbiodiversidad,Encerramiento y plantación de renuevos en áreas adyacentes
Macizo Ofiolitico de Ginebra,,23,puntohidrogeologico,Macizo Ofiolitico de Ginebra
Depósitos de Derrubio,,1,puntohidrogeologico,Depósitos de Derrubio
Depósitos de Terraza,,82,puntohidrogeologico,Depósitos de Terraza
Depósitos de Conos Aluviales,,33,puntohidrogeologico,Depósitos de Conos Aluviales
Depósitos Aluviales,,19,puntohidrogeologico,Depósitos Aluviales
Batolito de Buga,,8,puntohidrogeologico,Batolito de Buga
Formación La Paila,,12,puntohidrogeologico,Formación La Paila
Formación Cinta de Piedra,,27,puntohidrogeologico,Formación Cinta de Piedra
Depósitos de Flujos de lodo y cenizas recientes,,1,puntohidrogeologico,Depósitos de Flujos de lodo y cenizas recientes
Formación La Pobreza,,2,puntohidrogeologico,Formación La Pobreza
POZO CAV148,El Tablazo,1,puntomuestreoaguasubter,El Tablazo
ALJIBE CAV165,Buchitolo,1,puntomuestreoaguasubter,Buchitolo
POZO CAV381,el Cabuyal,1,puntomuestreoaguasubter,el Cabuyal
ALJIBE CAV167,El Arenal,1,puntomuestreoaguasubter,El Arenal
POZO CAV375,La Regina,1,puntomuestreoaguasubter,La Regina
POZO CAV390,Madre Vieja,1,puntomuestreoaguasubter,Madre Vieja
POZO CAV184,Bolo Hartonal,1,puntomuestreoaguasubter,Bolo Hartonal
MANANTIAL 44-V PALC (CAV3-017),Loma Gorda,1,puntomuestreoaguasubter,Loma Gorda
MANANTIAL CAV187,La Selva,1,puntomuestreoaguasubter,La Selva
MANANTIAL CAV1911,Puente rojo,1,puntomuestreoaguasubter,Puente rojo
MANANTIAL CAV 2-87,Angosturas,1,puntomuestreoaguasubter,Angosturas
MANANTIAL CAV78B,Paila Arriba,1,puntomuestreoaguasubter,Paila Arriba
ALJIBE CAV75B,La Paila,1,puntomuestreoaguasubter,La Paila
ALJIBE CAV092,La Paila,1,puntomuestreoaguasubter,La Paila
ALJIBE CAV 105,La Paila,1,puntomuestreoaguasubter,La Paila
POZO CAV113,Vallejuelo,1,puntomuestreoaguasubter,Vallejuelo
POZO CAV121,Vallejuelo,1,puntomuestreoaguasubter,Vallejuelo
MANANTIAL CAV251.,Villa Rodas,1,puntomuestreoaguasubter,Villa Rodas
MANANTIAL CAV312,La Grecia,1,puntomuestreoaguasubter,La Grecia
MANANTIAL CAV279,Piedras de Moler,1,puntomuestreoaguasubter,Piedras de Moler
POZO CAV112,Azufral,1,puntomuestreoaguasubter,Azufral
PAS-25 - Quebrada Poleal,,1,puntomuestreoaguasuper,PAS-25 - Quebrada Poleal
PAS-28 - Quebrada Chontaduro,,1,puntomuestreoaguasuper,PAS-28 - Quebrada Chontaduro
PAS-24 - Humedal río Cauca,,1,puntomuestreoaguasuper,PAS-24 - Humedal río Cauca
PAS-20 - Río Cauca,,1,puntomuestreoaguasuper,PAS-20 - Río Cauca
PAS-18 - Río Bolo,,1,puntomuestreoaguasuper,PAS-18 - Río Bolo
PAS-29 - Quebrada Grande,,1,puntomuestreoaguasuper,PAS-29 - Quebrada Grande
PAS-06 - Quebrada Playa Rica,,1,puntomuestreoaguasuper,PAS-06 - Quebrada Playa Rica
PAS-13 - Río Bugalagrande,,1,puntomuestreoaguasuper,PAS-13 - Río Bugalagrande
PAS-15 - Río Tulúa,,1,puntomuestreoaguasuper,PAS-15 - Río Tulúa
PAS-21 - Río Guadalajara,,1,puntomuestreoaguasuper,PAS-21 - Río Guadalajara
PAS-22 - Río Guabas,,1,puntomuestreoaguasuper,PAS-22 - Río Guabas
PAS-19 - Río Fraile,,1,puntomuestreoaguasuper,PAS-19 - Río Fraile
PAS-27 - Río Parrago,,1,puntomuestreoaguasuper,PAS-27 - Río Parrago
PAS-08 - Quebrada NN,,1,puntomuestreoaguasuper,PAS-08 - Quebrada NN
PAS-09 - Quebrada Las Palmas,,1,puntomuestreoaguasuper,PAS-09 - Quebrada Las Palmas
PAS-11 - Quebrada El Pital,,1,puntomuestreoaguasuper,PAS-11 - Quebrada El Pital
PAS-12 - Río La Paila,,1,puntomuestreoaguasuper,PAS-12 - Río La Paila
OC-23 (Aguas arriba),,1,puntomuestreoaguasuper,OC-23 (Aguas arriba)
OC-23 (Aguas abajo),,1,puntomuestreoaguasuper,OC-23 (Aguas abajo)
OC-20 (Aguas arriba),,1,puntomuestreoaguasuper,OC-20 (Aguas arriba)
OC-20 (Aguas abajo),,1,puntomuestreoaguasuper,OC-20 (Aguas abajo)
PAS-07 - Quebrada NN,,1,puntomuestreoaguasuper,PAS-07 - Quebrada NN
PAS-04 - Quebrada NN,,1,puntomuestreoaguasuper,PAS-04 - Quebrada NN
PAS-03 Quebrada El Enfado,,1,puntomuestreoaguasuper,PAS-03 Quebrada El Enfado
PAS-02 - Río La Vieja,,1,puntomuestreoaguasuper,PAS-02 - Río La Vieja
PAS-01 - Quebrada La Tigrera,,1,puntomuestreoaguasuper,PAS-01 - Quebrada La Tigrera
PAS-31 - Quebrada La Honda,,1,puntomuestreoaguasuper,PAS-31 - Quebrada La Honda
PAS-30 - Quebrada Las Paporrinas,,1,puntomuestreoaguasuper,PAS-30 - Quebrada Las Paporrinas
PAS-34 - Río Nima,,1,puntomuestreoaguasuper,PAS-34 - Río Nima
PAS-33 - Río Anaime,,1,puntomuestreoaguasuper,PAS-33 - Río Anaime
PAS-32 - Río Cerrito,,1,puntomuestreoaguasuper,PAS-32 - Río Cerrito
PAS-35 - Agua Clara,,1,puntomuestreoaguasuper,PAS-35 - Agua Clara
Vegetación secundaria alta,Rastrojo alto,51,puntomuestreofauna,Rastrojo alto
Pastos limpios,Zonas abiertas con pastos para ganaderia,6,puntomuestreofauna,Zonas abiertas con pastos para ganaderia
Pastos arbolados,Zonas abiertas de pastos con arboles aislados,47,puntomuestreofauna,Zonas abiertas de pastos con arboles aislados
Guadual,Áreas con guaduales,27,puntomuestreofauna,Áreas con guaduales
Mosaico de pastos y cultivos,Áreas abiertas de pastos con parcelas,1,puntomuestreofauna,Áreas abiertas de pastos con parcelas
Tejido urbano discontinuo,Zonas abiertas con presencia de infraestructura vivienda,2,puntomuestreofauna,Zonas abiertas con presencia de infraestructura vivienda
Bosque de galería y ripario,Zonas de bosque denso,83,puntomuestreofauna,Zonas de bosque denso
Vegetación secundaria baja,Rastrojo bajo,22,puntomuestreofauna,Rastrojo bajo
Pastos enmalezados,Zonas abiertas con pastos altos,4,puntomuestreofauna,Zonas abiertas con pastos altos
Caña,Cultivos de caña,7,puntomuestreofauna,Cultivos de caña
Ríos (50m),,2,puntomuestreofauna,
Guadual sin agua,Áreas con guaduales,1,puntomuestreofauna,Áreas con guaduales
Guadual,,73,puntomuestreoflora,Guadual
Bosque de galería y ripario,,104,puntomuestreoflora,Bosque de galería y ripario
Pastos arbolados,,85,puntomuestreoflora,Pastos arbolados
Pastos limpios,,48,puntomuestreoflora,Pastos limpios
Vegetación secundaria alta,,58,puntomuestreoflora,Vegetación secundaria alta
Vegetación secundaria baja,,61,puntomuestreoflora,Vegetación secundaria baja
Pastos enmalezados,,61,puntomuestreoflora,Pastos enmalezados
Mosaico de pastos y cultivos,,11,puntomuestreoflora,Mosaico de pastos y cultivos
"Lagunas, lagos y ciénagas naturales",Zona adyacente a cuerpos de agua,3,transectomuestreofauna,Zona adyacente a cuerpos de agua
Pastos arbolados,áreas abiertas con arboles dispersos,32,transectomuestreofauna,áreas abiertas con arboles dispersos
Guadual,Zona de guaduas,21,transectomuestreofauna,Zona de guaduas
Vegetación secundaria baja,Rastrojo bajo,24,transectomuestreofauna,Rastrojo bajo
Vegetación secundaria alta,Rastrojo alto,19,transectomuestreofauna,Rastrojo alto
Pastos limpios,Áreas abiertas con pastos para ganaderia,13,transectomuestreofauna,Áreas abiertas con pastos para ganaderia
Bosque de galería y ripario,Zonas de bosque denso,53,transectomuestreofauna,Zonas de bosque denso
Mosaico de pastos y cultivos,Áreas abiertas poca vegetación,7,transectomuestreofauna,Áreas abiertas poca vegetación
Caña,Zonas de cultivo,6,transectomuestreofauna,Zonas de cultivo
"Lagunas, lagos y ciénagas naturales","Zona adyacente a cuerpos de agua

",1,transectomuestreofauna,"Zona adyacente a cuerpos de agua

"
"Pastos arbolados
","áreas abiertas con arboles dispersos
",1,transectomuestreofauna,"áreas abiertas con arboles dispersos
"
Guadual,"Zona de guaduas
",1,transectomuestreofauna,"Zona de guaduas
"
Vegetación secundaria baja,"Rastrojo bajo
",1,transectomuestreofauna,"Rastrojo bajo
"
Vegetación secundaria alta,"Rastrojo alto
",2,transectomuestreofauna,"Rastrojo alto
"
Pastos enmalezados,Zonas abiertas con vegetacion rasante,3,transectomuestreofauna,Zonas abiertas con vegetacion rasante
Quebrada El Pital,,4,usosyusuariosrecursohidrico,Quebrada El Pital
Río La paila,,6,usosyusuariosrecursohidrico,Río La paila
Zanjón El Capricho,,2,usosyusuariosrecursohidrico,Zanjón El Capricho
Quebrada Las Cañas,,5,usosyusuariosrecursohidrico,Quebrada Las Cañas
Zanjón Boquemacho,,1,usosyusuariosrecursohidrico,Zanjón Boquemacho
Quebrada El Porvenir,,1,usosyusuariosrecursohidrico,Quebrada El Porvenir
Quebrada Chontaduro,,1,usosyusuariosrecursohidrico,Quebrada Chontaduro
RÍO CAUCA,,4,usosyusuariosrecursohidrico,RÍO CAUCA
999,,64,usosyusuariosrecursohidrico,999
Río Tapias,,11,usosyusuariosrecursohidrico,Río Tapias
Quebrada Guayabal,,2,usosyusuariosrecursohidrico,Quebrada Guayabal
Quebrada Manabi,,8,usosyusuariosrecursohidrico,Quebrada Manabi
Quebrada La Sonora,,7,usosyusuariosrecursohidrico,Quebrada La Sonora
Quebrada del Yeso o Todos Los Santos,,7,usosyusuariosrecursohidrico,Quebrada del Yeso o Todos Los Santos
Río Tuluá,,3,usosyusuariosrecursohidrico,Río Tuluá
Río La Vieja,,8,usosyusuariosrecursohidrico,Río La Vieja
Quebrada Tamboral,,5,usosyusuariosrecursohidrico,Quebrada Tamboral
Río Sabaletas,,5,usosyusuariosrecursohidrico,Río Sabaletas
Río Morales,,12,usosyusuariosrecursohidrico,Río Morales
Afluentes Directos,,3,usosyusuariosrecursohidrico,Afluentes Directos
Río Bugalagrande,,1,usosyusuariosrecursohidrico,Río Bugalagrande
Río Fraile,,11,usosyusuariosrecursohidrico,Río Fraile
Quebrada La Magdalena,,3,usosyusuariosrecursohidrico,Quebrada La Magdalena
